citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
86 FR 7197, 2021-01854,7199,https://www.federalregister.gov/documents/2021/01/26/2021-01854/establishing-the-covid-19-pandemic-testing-board-and-ensuring-a-sustainable-public-health-workforce,https://www.govinfo.gov/content/pkg/FR-2021-01-26/pdf/2021-01854.pdf,Presidential Document,Executive Order,01/26/2021,2021-01-21,7197,Establishing the COVID-19 Pandemic Testing Board and Ensuring a Sustainable Public Health Workforce for COVID-19 and Other Biological Threats,"See: EO 14122, April 12, 2024",13996,""
86 FR 7205, 2021-01859,7208,https://www.federalregister.gov/documents/2021/01/26/2021-01859/promoting-covid-19-safety-in-domestic-and-international-travel,https://www.govinfo.gov/content/pkg/FR-2021-01-26/pdf/2021-01859.pdf,Presidential Document,Executive Order,01/26/2021,2021-01-21,7205,Promoting COVID-19 Safety in Domestic and International Travel,"Revoked by: EO 14122, April 12, 2024",13998,""
86 FR 7015, 2021-01755,7017,https://www.federalregister.gov/documents/2021/01/25/2021-01755/ensuring-a-lawful-and-accurate-enumeration-and-apportionment-pursuant-to-the-decennial-census,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01755.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7015,Ensuring a Lawful and Accurate Enumeration and Apportionment Pursuant to the Decennial Census,"Revokes: EO 13880, July 11, 2019",13986,""
86 FR 7023, 2021-01761,7025,https://www.federalregister.gov/documents/2021/01/25/2021-01761/preventing-and-combating-discrimination-on-the-basis-of-gender-identity-or-sexual-orientation,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01761.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7023,Preventing and Combating Discrimination on the Basis of Gender Identity or Sexual Orientation,"See: EO 14091, February 16, 2023",13988,""
86 FR 7029, 2021-01762,7035,https://www.federalregister.gov/documents/2021/01/25/2021-01762/ethics-commitments-by-executive-branch-personnel,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01762.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7029,Ethics Commitments by Executive Branch Personnel,"See: EO 14091, February 16, 2023",13989,""
86 FR 7037, 2021-01765,7043,https://www.federalregister.gov/documents/2021/01/25/2021-01765/protecting-public-health-and-the-environment-and-restoring-science-to-tackle-the-climate-crisis,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01765.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7037,Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis,"Revokes: EO 13766, January 24, 2017; EO 13778, February 28, 2017; EO 13783, March 28, 2017; EO 13792, April 26, 2017; EO 13795, April 28, 2017; EO 13807, August 15, 2017; EO 13868 of April 10, 2019; EO 13927, June 4, 2020
Revokes in part: EO 13834, May 17, 2018
Suspends: EO 13920, May 1, 2020
See: EO 14096, April 21, 2023;  ",13990,""
86 FR 7049, 2021-01767,7050,https://www.federalregister.gov/documents/2021/01/25/2021-01767/revocation-of-certain-executive-orders-concerning-federal-regulation,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01767.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7049,Revocation of Certain Executive Orders Concerning Federal Regulation,"Revokes: EO 13771, January 30, 2017; EO 13777, February 24, 2017;  EO 13875, June 14, 2019; EO 13891, October 9, 2019; EO 13892, October 9, 2019; EO 13893, October 10, 2019",13992,""
86 FR 7051, 2021-01768,7052,https://www.federalregister.gov/documents/2021/01/25/2021-01768/revision-of-civil-immigration-enforcement-policies-and-priorities,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01768.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7051,Revision of Civil Immigration Enforcement Policies and Priorities,"Revokes: EO 13768, January 25, 2017",13993,""
86 FR 7009, 2021-01753,7013,https://www.federalregister.gov/documents/2021/01/25/2021-01753/advancing-racial-equity-and-support-for-underserved-communities-through-the-federal-government,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01753.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7009,Advancing Racial Equity and Support for Underserved Communities Through the Federal Government,"Revokes: EO 13950, September 22, 2020; EO 13958, November 2, 2020
See: EO 14089, December 13, 2022; EO 14091, February 16, 2023; EO 14096, April 21, 2023; EO 14121, March 27, 2024",13985,""
86 FR 7019, 2021-01759,7021,https://www.federalregister.gov/documents/2021/01/25/2021-01759/organizing-and-mobilizing-the-united-states-government-to-provide-a-unified-and-effective-response,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01759.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7019,Organizing and Mobilizing the United States Government To Provide a Unified and Effective Response To Combat COVID-19 and To Provide United States Leadership on Global Health and Security,"See: EO 13747, November 4, 2016; EO 14122, April 12, 2024",13987,""
86 FR 7045, 2021-01766,7048,https://www.federalregister.gov/documents/2021/01/25/2021-01766/protecting-the-federal-workforce-and-requiring-mask-wearing,https://www.govinfo.gov/content/pkg/FR-2021-01-25/pdf/2021-01766.pdf,Presidential Document,Executive Order,01/25/2021,2021-01-20,7045,Protecting the Federal Workforce and Requiring Mask-Wearing,"Revoked by: EO 14122, April 12, 2024",13991,""
