citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,proclamation_number
89 FR 18529, 2024-05587,18530,https://www.federalregister.gov/documents/2024/03/14/2024-05587/national-equal-pay-day-2024,https://www.govinfo.gov/content/pkg/FR-2024-03-14/pdf/2024-05587.pdf,Presidential Document,Proclamation,03/14/2024,2024-03-11,18529,"National Equal Pay Day, 2024","",10710
86 FR 59597, 2021-23559,59598,https://www.federalregister.gov/documents/2021/10/27/2021-23559/united-nations-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-10-27/pdf/2021-23559.pdf,Presidential Document,Proclamation,10/27/2021,2021-10-22,59597,"United Nations Day, 2021","",10293
86 FR 59603, 2021-23645,59608,https://www.federalregister.gov/documents/2021/10/28/2021-23645/advancing-the-safe-resumption-of-global-travel-during-the-covid-19-pandemic,https://www.govinfo.gov/content/pkg/FR-2021-10-28/pdf/2021-23645.pdf,Presidential Document,Proclamation,10/28/2021,2021-10-25,59603,Advancing the Safe Resumption of Global Travel During the COVID-19 Pandemic,"",10294
86 FR 60531, 2021-24113,60532,https://www.federalregister.gov/documents/2021/11/03/2021-24113/critical-infrastructure-security-and-resilience-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24113.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60531,"Critical Infrastructure Security and Resilience Month, 2021","",10295
86 FR 60533, 2021-24114,60534,https://www.federalregister.gov/documents/2021/11/03/2021-24114/national-adoption-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24114.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60533,"National Adoption Month, 2021","",10296
86 FR 60535, 2021-24115,60536,https://www.federalregister.gov/documents/2021/11/03/2021-24115/national-alzheimers-disease-awareness-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24115.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60535,"National Alzheimer's Disease Awareness Month, 2021","",10297
86 FR 60537, 2021-24116,60538,https://www.federalregister.gov/documents/2021/11/03/2021-24116/national-college-application-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24116.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60537,"National College Application Month, 2021","",10298
86 FR 60539, 2021-24117,60540,https://www.federalregister.gov/documents/2021/11/03/2021-24117/national-diabetes-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24117.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60539,"National Diabetes Month, 2021","",10299
86 FR 60541, 2021-24119,60542,https://www.federalregister.gov/documents/2021/11/03/2021-24119/national-entrepreneurship-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24119.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60541,"National Entrepreneurship Month, 2021","",10300
86 FR 60543, 2021-24120,60544,https://www.federalregister.gov/documents/2021/11/03/2021-24120/national-family-caregivers-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24120.pdf,Presidential Document,Proclamation,11/03/2021,2021-10-29,60543,"National Family Caregivers Month, 2021","",10301
